incident_hour,is_male,is_couple,Average high in ºF ,Average low in ºF ,Days with precipitation ,Av. precipitation in inch ,total_sunlight,total_dark
0,1,0,36,20,13,9.65,564,876
12,1,0,36,20,13,9.65,564,876
10,0,0,36,20,13,9.65,564,876
9,1,0,36,20,13,9.65,564,876
5,1,0,36,20,13,9.65,564,876
14,1,0,36,20,13,9.65,564,876
2,1,0,36,20,13,9.65,564,876
23,1,0,36,20,13,9.65,564,876
0,1,0,36,20,13,9.65,564,876
3,1,0,36,20,13,9.65,564,876
21,1,0,36,20,13,9.65,564,876
10,1,0,36,20,13,9.65,564,876
0,0,1,36,20,13,9.65,564,876
15,0,1,36,20,13,9.65,564,876
1,0,1,36,20,13,9.65,564,876
1,0,1,36,20,13,9.65,564,876
17,0,1,36,20,13,9.65,564,876
9,0,1,36,20,13,9.65,564,876
15,0,1,36,20,13,9.65,564,876
1,0,1,36,20,13,9.65,564,876
12,0,1,36,20,13,9.65,564,876
23,0,1,36,20,13,9.65,564,876
2,0,1,36,20,13,9.65,564,876
20,0,1,36,20,13,9.65,564,876
4,0,1,36,20,13,9.65,564,876
17,0,1,36,20,13,9.65,564,876
17,0,1,36,20,13,9.65,564,876
9,0,1,36,20,13,9.65,564,876
21,0,1,36,20,13,9.65,564,876
20,0,1,36,20,13,9.65,564,876
6,0,1,36,20,13,9.65,564,876
10,0,1,36,20,13,9.65,564,876
2,0,1,36,20,13,9.65,564,876
8,0,1,36,20,13,9.65,564,876
9,0,1,36,20,13,9.65,564,876
4,0,1,36,20,13,9.65,564,876
1,0,1,36,20,13,9.65,564,876
0,0,1,36,20,13,9.65,564,876
1,0,1,36,20,13,9.65,564,876
17,0,1,36,20,13,9.65,564,876
17,0,1,36,20,13,9.65,564,876
6,0,1,36,20,13,9.65,564,876
19,0,1,36,20,13,9.65,564,876
7,0,1,36,20,13,9.65,564,876
0,0,1,36,20,13,9.65,564,876
18,0,1,36,20,13,9.65,564,876
22,0,1,36,20,13,9.65,564,876
5,0,1,36,20,13,9.65,564,876
8,0,1,36,20,13,9.65,564,876
1,0,1,36,20,13,9.65,564,876
0,0,1,36,20,13,9.65,564,876
3,0,1,36,20,13,9.65,564,876
0,0,1,36,20,13,9.65,564,876
3,0,1,36,20,13,9.65,564,876
10,1,1,36,20,13,9.65,564,876
18,1,1,36,20,13,9.65,564,876
15,1,1,36,20,13,9.65,564,876
0,1,1,36,20,13,9.65,564,876
11,1,1,36,20,13,9.65,564,876
22,1,1,36,20,13,9.65,564,876
22,1,1,36,20,13,9.65,564,876
22,1,1,36,20,13,9.65,564,876
4,1,1,36,20,13,9.65,564,876
13,1,1,36,20,13,9.65,564,876
3,1,1,36,20,13,9.65,564,876
15,1,1,36,20,13,9.65,564,876
7,1,1,36,20,13,9.65,564,876
8,1,1,36,20,13,9.65,564,876
21,1,1,36,20,13,9.65,564,876
3,1,1,36,20,13,9.65,564,876
3,1,1,36,20,13,9.65,564,876
14,1,1,36,20,13,9.65,564,876
0,1,1,36,20,13,9.65,564,876
0,1,1,36,20,13,9.65,564,876
11,1,1,36,20,13,9.65,564,876
4,1,1,36,20,13,9.65,564,876
2,1,1,36,20,13,9.65,564,876
1,1,1,36,20,13,9.65,564,876
9,1,1,36,20,13,9.65,564,876
1,1,1,36,20,13,9.65,564,876
13,1,1,36,20,13,9.65,564,876
4,1,1,36,20,13,9.65,564,876
17,1,1,36,20,13,9.65,564,876
7,1,1,36,20,13,9.65,564,876
1,1,1,36,20,13,9.65,564,876
8,1,1,36,20,13,9.65,564,876
21,1,1,36,20,13,9.65,564,876
0,1,1,36,20,13,9.65,564,876
1,1,1,36,20,13,9.65,564,876
21,1,1,36,20,13,9.65,564,876
4,1,1,36,20,13,9.65,564,876
23,1,1,36,20,13,9.65,564,876
11,1,1,36,20,13,9.65,564,876
4,1,1,36,20,13,9.65,564,876
11,1,1,36,20,13,9.65,564,876
4,1,1,36,20,13,9.65,564,876
1,1,1,36,20,13,9.65,564,876
2,1,1,36,20,13,9.65,564,876
0,1,1,36,20,13,9.65,564,876
16,1,1,36,20,13,9.65,564,876
2,1,1,36,20,13,9.65,564,876
10,1,1,36,20,13,9.65,564,876
3,1,1,36,20,13,9.65,564,876
2,1,1,36,20,13,9.65,564,876
12,1,1,36,20,13,9.65,564,876
5,1,1,36,20,13,9.65,564,876
2,1,1,36,20,13,9.65,564,876
9,1,1,36,20,13,9.65,564,876
2,1,1,36,20,13,9.65,564,876
4,1,1,36,20,13,9.65,564,876
0,1,1,36,20,13,9.65,564,876
0,1,1,36,20,13,9.65,564,876
15,1,1,36,20,13,9.65,564,876
5,1,1,36,20,13,9.65,564,876
1,1,1,36,20,13,9.65,564,876
9,1,1,36,20,13,9.65,564,876
1,1,1,36,20,13,9.65,564,876
2,1,1,36,20,13,9.65,564,876
17,1,1,36,20,13,9.65,564,876
23,1,1,36,20,13,9.65,564,876
0,1,1,36,20,13,9.65,564,876
9,1,1,36,20,13,9.65,564,876
0,1,1,36,20,13,9.65,564,876
0,1,1,36,20,13,9.65,564,876
9,1,1,36,20,13,9.65,564,876
